date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;
29/08/2022;5;10;28;34;22;4;6;7;12;35;36;
31/08/2022;9;39;10;15;45;7;8;12;16;24;33;
03/09/2022;35;24;44;38;32;6;5;6;24;33;44;
05/09/2022;5;1;35;27;40;4;2;8;18;31;44;
07/09/2022;20;35;30;3;29;9;1;21;24;25;34;
10/09/2022;25;3;8;49;24;5;3;4;23;32;41;
12/09/2022;4;49;20;7;21;10;1;2;14;23;25;
14/09/2022;40;10;38;26;45;1;2;12;18;25;36;
17/09/2022;12;17;1;20;3;3;14;18;19;39;48;
19/09/2022;5;7;44;15;33;1;8;17;22;36;38;
21/09/2022;3;12;22;9;37;10;5;16;37;39;48;
24/09/2022;25;6;32;7;4;10;5;14;15;38;43;
26/09/2022;29;49;35;18;39;1;1;7;43;47;48;
28/09/2022;12;39;26;14;29;10;10;11;26;42;46;
01/10/2022;8;7;35;36;26;2;20;27;39;45;46;
03/10/2022;20;40;31;7;23;1;6;25;33;41;48;
05/10/2022;32;23;39;35;14;7;9;20;24;41;42;
08/10/2022;17;20;48;16;34;7;11;17;24;30;37;
10/10/2022;19;40;32;13;46;7;23;24;26;44;49;
12/10/2022;17;44;7;40;39;3;6;7;24;35;46;
15/10/2022;31;16;27;24;46;1;23;33;34;40;49;
17/10/2022;38;49;20;16;40;2;29;35;40;45;49;
19/10/2022;35;16;38;46;25;8;5;9;21;33;36;
22/10/2022;12;2;25;35;7;10;19;20;26;34;43;
24/10/2022;43;28;33;37;29;1;1;8;17;24;42;
26/10/2022;45;30;4;2;23;5;2;10;29;30;31;
29/10/2022;33;28;48;44;26;4;5;8;13;15;43;
31/10/2022;34;25;45;44;4;7;1;3;17;18;19;
02/11/2022;45;7;38;4;26;2;11;12;23;24;47;
05/11/2022;40;6;38;23;32;10;9;13;14;29;35;
07/11/2022;24;8;9;40;31;7;25;26;41;43;49;
09/11/2022;15;2;1;41;30;9;2;3;7;19;45;
12/11/2022;14;44;34;25;4;7;1;20;24;33;46;
14/11/2022;28;23;34;44;14;5;20;28;38;41;47;
16/11/2022;1;8;48;38;3;1;19;30;32;41;45;
19/11/2022;40;24;19;1;28;8;17;23;28;38;44;
21/11/2022;45;33;47;15;23;7;9;18;35;39;41;
23/11/2022;46;36;45;15;19;4;1;3;26;31;35;
26/11/2022;5;7;28;23;2;5;1;26;39;43;49;
28/11/2022;24;46;9;2;13;6;6;21;30;35;47;
30/11/2022;44;18;28;49;30;5;24;37;44;46;48;
03/12/2022;32;19;34;26;27;9;16;22;24;26;47;
05/12/2022;36;45;9;24;17;7;1;4;6;12;42;
07/12/2022;2;12;38;15;10;5;4;7;11;38;44;
10/12/2022;6;43;29;13;27;2;4;16;26;33;48;
12/12/2022;46;25;47;2;35;10;3;12;13;23;34;
14/12/2022;15;37;4;20;6;10;17;30;31;37;41;
17/12/2022;46;27;42;23;8;3;1;11;30;31;49;
19/12/2022;43;35;6;31;36;4;5;10;14;26;30;
21/12/2022;11;22;15;12;21;7;12;18;41;42;45;
24/12/2022;12;41;47;46;6;6;24;27;30;36;37;
26/12/2022;6;23;32;49;48;4;14;17;23;41;42;
28/12/2022;29;1;3;35;8;8;9;13;35;39;41;
31/12/2022;35;39;16;11;23;8;4;12;20;24;47;
02/01/2023;49;39;45;41;1;5;7;17;22;23;38;
04/01/2023;3;5;49;38;25;10;7;13;15;24;38;
07/01/2023;8;43;7;21;34;6;14;17;21;37;41;
09/01/2023;38;1;48;30;20;3;6;14;26;41;44;
11/01/2023;8;16;17;3;47;9;6;9;11;47;48;
14/01/2023;22;36;40;13;14;9;13;19;20;26;42;
16/01/2023;5;31;10;19;28;4;18;19;25;42;48;
18/01/2023;7;35;48;39;11;8;12;18;44;45;48;
21/01/2023;41;4;45;18;24;6;13;17;22;28;49;
23/01/2023;28;6;10;35;32;9;6;8;19;27;39;
25/01/2023;32;26;44;18;21;10;9;13;19;33;39;
28/01/2023;15;44;5;30;45;5;14;16;27;37;40;
30/01/2023;35;27;8;30;34;5;14;23;28;35;42;
01/02/2023;12;48;38;35;9;5;1;5;13;16;34;
04/02/2023;42;26;31;13;16;2;11;13;28;36;38;
06/02/2023;32;13;5;21;6;3;4;19;24;40;47;
08/02/2023;44;24;16;21;34;7;29;30;36;41;45;
11/02/2023;43;9;15;47;45;9;3;25;28;40;45;
13/02/2023;20;8;33;27;35;2;3;4;5;13;22;
15/02/2023;20;24;5;44;28;6;1;10;20;24;49;
18/02/2023;12;24;1;13;5;9;24;27;28;40;42;
20/02/2023;35;43;41;22;16;7;6;13;18;29;34;
22/02/2023;37;35;3;24;31;4;10;19;20;23;43;
25/02/2023;34;19;3;1;43;3;19;21;27;32;41;
27/02/2023;5;37;14;6;2;1;4;31;33;36;37;
01/03/2023;18;39;45;14;21;8;14;22;25;29;33;
04/03/2023;42;40;35;25;12;6;1;12;15;19;23;
06/03/2023;24;38;41;18;5;7;16;24;29;33;45;
08/03/2023;10;7;46;16;35;5;4;10;16;19;37;
11/03/2023;6;34;14;33;18;6;2;9;16;47;49;
13/03/2023;47;45;35;42;19;2;7;30;32;34;35;
15/03/2023;37;20;15;5;17;2;12;16;21;25;34;
18/03/2023;7;31;8;48;32;5;6;22;28;32;46;
20/03/2023;38;19;10;26;7;8;7;22;26;35;44;
22/03/2023;24;38;33;12;20;2;8;10;14;19;44;
25/03/2023;3;34;29;7;11;4;6;15;25;27;48;
27/03/2023;1;11;23;41;34;9;3;8;13;35;36;
29/03/2023;34;1;32;14;11;9;5;8;16;26;29;
01/04/2023;44;48;17;12;35;8;2;13;21;30;44;
03/04/2023;49;15;39;31;46;4;2;4;15;23;29;
05/04/2023;31;33;16;29;39;2;6;13;23;31;34;
08/04/2023;19;35;48;3;42;10;5;16;20;32;46;
10/04/2023;45;24;15;10;49;2;26;33;36;39;48;
12/04/2023;18;26;10;30;15;7;3;4;16;23;31;
15/04/2023;32;17;15;19;29;10;9;14;16;30;42;
17/04/2023;3;18;42;13;43;9;16;19;24;32;35;
19/04/2023;43;41;5;46;34;5;2;12;33;34;44;
22/04/2023;12;26;48;13;35;1;12;17;29;34;49;
24/04/2023;41;23;25;1;49;2;9;11;22;24;29;
26/04/2023;3;18;24;11;14;10;14;17;24;46;49;
29/04/2023;40;48;36;22;3;5;2;4;11;19;47;
01/05/2023;15;41;33;44;5;10;7;17;18;30;42;
03/05/2023;17;23;13;20;45;8;16;29;32;37;44;
06/05/2023;47;25;42;2;30;10;4;11;13;23;28;
08/05/2023;43;47;16;39;4;5;12;22;25;28;49;
10/05/2023;45;12;44;15;9;1;11;13;18;25;47;
13/05/2023;43;6;25;34;9;5;6;7;26;32;44;
15/05/2023;12;9;48;7;29;4;13;24;27;29;38;
17/05/2023;8;2;11;47;40;7;7;14;16;38;47;
20/05/2023;25;18;3;8;37;6;19;20;33;35;48;
22/05/2023;43;33;42;22;37;4;3;16;22;44;46;
24/05/2023;20;11;36;17;28;10;22;31;32;35;36;
27/05/2023;25;24;31;34;9;9;7;34;37;43;49;
29/05/2023;12;38;28;24;36;3;4;5;24;34;43;
31/05/2023;43;9;40;28;13;3;5;8;20;27;28;
03/06/2023;46;44;37;2;39;4;9;18;24;28;48;
05/06/2023;3;46;25;10;13;5;7;11;18;31;44;
07/06/2023;41;28;3;4;23;8;1;3;6;10;44;
10/06/2023;28;16;11;32;49;10;14;20;27;35;43;
12/06/2023;12;26;28;19;21;2;6;10;20;42;47;
14/06/2023;14;9;16;12;33;2;6;10;14;23;31;
17/06/2023;28;43;29;38;44;3;20;27;37;38;48;
19/06/2023;39;42;38;29;49;3;3;8;18;28;34;
21/06/2023;20;35;27;19;12;4;8;16;19;20;45;
24/06/2023;30;40;3;21;2;4;10;34;36;47;48;
26/06/2023;14;21;48;16;26;3;3;12;22;36;48;
28/06/2023;49;34;36;12;42;10;6;22;28;41;48;
01/07/2023;24;7;18;15;9;10;8;13;27;36;48;
03/07/2023;42;23;2;8;35;7;4;11;22;27;43;
05/07/2023;22;8;19;7;15;5;18;21;32;41;47;
08/07/2023;6;19;48;32;10;5;17;19;33;39;41;
10/07/2023;14;3;10;44;8;2;2;19;28;39;45;
12/07/2023;31;18;34;27;26;8;19;20;28;30;47;
15/07/2023;7;32;42;45;12;6;9;10;16;29;41;
17/07/2023;47;6;20;9;41;9;25;26;28;31;45;
19/07/2023;35;5;39;19;11;9;10;21;36;40;46;
22/07/2023;37;33;42;36;31;3;1;5;7;25;26;
24/07/2023;12;1;31;45;17;7;22;25;28;44;49;
26/07/2023;17;49;18;28;11;7;1;14;26;28;49;
29/07/2023;1;49;29;18;37;4;2;3;9;24;49;
31/07/2023;1;47;22;33;4;1;21;27;33;40;44;
02/08/2023;18;12;32;9;23;9;4;10;18;20;45;
05/08/2023;40;42;2;7;10;2;9;11;16;37;42;
07/08/2023;11;1;15;48;47;7;13;16;17;37;45;
09/08/2023;6;31;45;14;3;9;10;14;27;33;35;
12/08/2023;9;20;44;1;39;9;7;10;21;29;47;
14/08/2023;44;13;3;27;49;9;16;19;21;32;37;
16/08/2023;24;41;19;35;27;9;11;20;31;41;42;
19/08/2023;27;8;32;11;4;10;7;33;34;44;49;
21/08/2023;3;17;4;36;22;6;3;6;12;40;43;
23/08/2023;46;29;25;8;34;7;3;5;7;22;40;
26/08/2023;15;14;21;34;45;5;10;13;19;39;43;
28/08/2023;9;35;23;37;28;7;2;8;20;36;38;
30/08/2023;46;31;20;45;39;10;22;23;24;31;40;
02/09/2023;10;33;47;1;7;10;2;10;11;33;47;
04/09/2023;27;13;2;11;36;10;1;11;29;30;48;
06/09/2023;47;30;15;33;4;10;11;24;25;26;30;
09/09/2023;15;7;3;42;4;4;6;15;24;28;33;
11/09/2023;31;44;40;13;28;6;3;10;16;35;42;
13/09/2023;11;27;30;48;49;8;14;23;39;44;45;
16/09/2023;42;43;32;40;15;4;3;8;27;48;49;
18/09/2023;5;30;40;35;17;6;2;19;20;28;38;
20/09/2023;48;19;37;16;29;1;18;21;28;41;45;
23/09/2023;26;28;40;37;6;8;2;12;27;41;46;
25/09/2023;4;13;27;46;21;4;2;9;30;34;47;
27/09/2023;44;14;30;25;17;3;16;17;30;38;45;
30/09/2023;33;48;25;23;41;1;1;13;16;19;25;
02/10/2023;6;40;17;15;3;1;10;16;20;29;48;
04/10/2023;26;21;40;27;31;1;3;16;19;22;34;
07/10/2023;5;12;42;9;26;2;9;11;17;39;40;
09/10/2023;9;16;32;30;23;6;5;7;19;20;25;
11/10/2023;10;16;15;6;24;8;8;25;36;37;47;
14/10/2023;13;14;27;4;20;1;15;20;24;35;40;
16/10/2023;6;7;37;25;47;9;8;32;34;36;43;
18/10/2023;22;13;46;49;3;1;6;16;28;29;33;
21/10/2023;47;14;28;3;25;10;3;17;19;44;46;
23/10/2023;10;3;40;26;22;4;1;6;7;40;43;
25/10/2023;22;12;30;35;33;10;13;33;35;40;48;
28/10/2023;31;38;22;32;34;2;20;25;29;34;46;
30/10/2023;30;34;8;1;13;4;8;15;19;25;44;
01/11/2023;32;46;27;1;16;1;8;14;24;32;39;
04/11/2023;20;13;46;40;25;7;13;16;22;29;47;
06/11/2023;18;10;40;34;31;10;2;4;40;45;46;
08/11/2023;2;49;1;36;14;9;2;18;26;30;33;
11/11/2023;17;22;35;25;19;6;17;27;32;36;41;
13/11/2023;46;39;23;45;13;7;12;15;32;36;48;
15/11/2023;22;7;16;30;2;1;16;27;36;38;47;
18/11/2023;12;21;48;29;20;3;14;33;35;36;48;
20/11/2023;30;15;34;46;41;2;8;28;40;41;47;
22/11/2023;18;45;41;4;17;2;1;15;19;23;24;
25/11/2023;1;9;19;13;11;8;7;10;41;42;43;
27/11/2023;19;8;46;26;9;9;6;7;8;26;40;
29/11/2023;21;30;6;31;10;1;2;6;7;28;34;
02/12/2023;25;19;12;11;28;4;2;11;15;20;29;
04/12/2023;41;44;38;8;10;2;8;29;37;46;48;
06/12/2023;29;1;43;37;27;7;22;28;33;40;43;
09/12/2023;40;34;36;28;15;10;11;13;15;20;36;
11/12/2023;25;48;16;12;49;10;13;15;21;23;47;
13/12/2023;4;19;22;18;7;10;5;8;26;40;48;
16/12/2023;1;15;12;30;44;1;5;16;17;37;42;
18/12/2023;30;3;15;41;16;9;2;17;31;35;39;
20/12/2023;2;3;29;30;31;10;2;9;26;45;47;
23/12/2023;39;28;26;5;29;10;9;23;30;33;37;
25/12/2023;9;32;7;47;1;1;1;17;25;31;32;
27/12/2023;16;41;26;28;13;8;1;26;35;39;43;
30/12/2023;36;12;7;11;38;6;6;17;24;28;31;
01/01/2024;4;41;16;13;6;10;1;33;34;35;47;
03/01/2024;36;1;45;9;14;3;18;22;34;36;42;
06/01/2024;49;19;22;40;45;2;5;20;30;33;41;
08/01/2024;6;48;11;49;46;2;11;15;19;24;32;
10/01/2024;12;28;32;45;38;9;9;32;43;44;46;
13/01/2024;12;15;21;29;48;6;7;27;29;42;43;
15/01/2024;11;7;15;23;19;4;2;3;16;24;44;
17/01/2024;29;8;37;22;39;10;13;23;33;37;42;
20/01/2024;19;41;42;43;45;2;11;23;24;25;32;
22/01/2024;32;29;37;20;5;9;2;9;10;21;31;
24/01/2024;25;9;34;31;32;5;19;23;25;46;47;
27/01/2024;47;2;14;33;30;5;11;24;29;30;33;
29/01/2024;27;26;8;9;15;4;5;7;24;28;49;
31/01/2024;34;2;13;15;31;8;8;10;29;30;32;
03/02/2024;42;4;23;15;12;1;9;11;24;30;33;
05/02/2024;36;3;33;34;42;2;6;15;19;37;47;
07/02/2024;24;13;23;6;34;4;12;20;23;29;46;
10/02/2024;44;15;37;34;40;8;12;19;37;38;46;
12/02/2024;36;40;5;30;43;1;9;11;35;45;46;
14/02/2024;28;15;3;46;36;2;18;32;36;47;48;
17/02/2024;2;19;13;23;36;3;1;5;19;27;46;
19/02/2024;35;23;16;42;8;2;7;15;16;34;39;
21/02/2024;42;22;9;33;45;3;8;18;27;30;34;
24/02/2024;14;45;37;22;25;3;1;7;12;42;45;
26/02/2024;7;45;30;8;20;10;7;13;16;25;31;
28/02/2024;2;38;46;27;43;3;8;24;29;33;39;
02/03/2024;20;13;27;26;17;4;7;11;13;32;38;
04/03/2024;25;8;18;27;37;8;9;11;22;26;46;
06/03/2024;12;8;43;46;49;8;3;35;37;43;47;
09/03/2024;29;28;25;7;35;2;17;27;38;48;49;
11/03/2024;18;48;36;16;45;10;5;7;8;16;37;
13/03/2024;5;29;4;10;13;1;5;15;20;35;44;
16/03/2024;12;10;37;25;49;2;5;15;18;34;45;
18/03/2024;36;48;30;20;40;8;13;15;31;35;46;
20/03/2024;24;46;3;22;32;5;4;12;21;37;41;
23/03/2024;47;49;20;34;32;1;2;16;17;26;28;
25/03/2024;37;1;22;26;31;5;5;24;31;37;39;
27/03/2024;28;45;2;15;23;7;5;6;11;20;48;
30/03/2024;40;41;28;8;42;2;12;21;29;31;44;
01/04/2024;9;17;15;12;26;8;2;16;30;36;46;
03/04/2024;26;46;5;12;36;4;2;11;28;33;45;
06/04/2024;27;2;36;43;6;5;1;10;12;17;23;
08/04/2024;2;22;46;21;49;9;2;9;12;44;46;
10/04/2024;18;1;33;9;39;2;4;30;31;32;46;
13/04/2024;45;7;29;19;38;8;5;9;25;32;47;
15/04/2024;24;2;21;36;31;6;6;7;36;37;40;
17/04/2024;48;6;8;17;24;10;4;13;19;24;34;
20/04/2024;13;10;22;24;16;7;5;15;17;33;44;
22/04/2024;48;20;39;8;47;1;2;13;16;21;49;
24/04/2024;38;25;40;41;39;7;1;16;17;25;45;
27/04/2024;18;34;27;14;44;6;1;6;7;26;46;
29/04/2024;49;47;20;3;30;7;2;25;31;32;41;
01/05/2024;17;42;25;5;15;7;22;29;34;38;47;
